product_key,product_id,product_number,product_name,category_id,category,subcategory,cost,product_line,supplier_key
277,488,SJ-0194-S,Short-Sleeve Classic Jersey- S,CL_JE,Clothing,Jerseys,42,Other Sales,117
278,491,SJ-0194-X,Short-Sleeve Classic Jersey- XL,CL_JE,Clothing,Jerseys,42,Other Sales,118
279,482,SO-R809-L,Racing Socks- L,CL_SO,Clothing,Socks,3,Road,119
280,481,SO-R809-M,Racing Socks- M,CL_SO,Clothing,Socks,3,Road,120
281,486,ST-1401,All-Purpose Bike Stand,AC_BS,Accessories,Bike Stands,59,Mountain,101
282,535,TI-M267,LL Mountain Tire,AC_TT,Accessories,Tires and Tubes,9,Mountain,102
283,536,TI-M602,ML Mountain Tire,AC_TT,Accessories,Tires and Tubes,11,Mountain,103
284,537,TI-M823,HL Mountain Tire,AC_TT,Accessories,Tires and Tubes,13,Mountain,104
285,538,TI-R092,LL Road Tire,AC_TT,Accessories,Tires and Tubes,8,Road,105
286,539,TI-R628,ML Road Tire,AC_TT,Accessories,Tires and Tubes,9,Road,106
287,540,TI-R982,HL Road Tire,AC_TT,Accessories,Tires and Tubes,12,Road,107
288,541,TI-T723,Touring Tire,AC_TT,Accessories,Tires and Tubes,11,Touring,108
289,528,TT-M928,Mountain Tire Tube,AC_TT,Accessories,Tires and Tubes,2,Mountain,109
290,529,TT-R982,Road Tire Tube,AC_TT,Accessories,Tires and Tubes,1,Road,110
291,530,TT-T092,Touring Tire Tube,AC_TT,Accessories,Tires and Tubes,2,Touring,111
292,473,VE-C304-L,Classic Vest- L,CL_VE,Clothing,Vests,24,Other Sales,112
293,472,VE-C304-M,Classic Vest- M,CL_VE,Clothing,Vests,24,Other Sales,113
294,471,VE-C304-S,Classic Vest- S,CL_VE,Clothing,Vests,24,Other Sales,114
295,477,WB-H098,Water Bottle - 30 oz.,AC_BC,Accessories,Bottles and Cages,2,Other Sales,115
